Item Name,Categories
Hyderabadi Biryani,"['Indian', 'Rice', 'Spicy', 'Chicken', 'Aromatic', 'Dinner', 'Basmati Rice', 'Chicken', 'Protein', 'Spices']"
Rajma Chawal,"['North Indian', 'Vegetarian', 'Beans', 'Rice', 'Lunch', 'Kidney Beans', 'Basmati Rice', 'Protein', 'Fiber']"
Chicken Korma,"['North Indian', 'Non-Veg', 'Chicken', 'Creamy', 'Dinner', 'Chicken', 'Cream', 'Protein', 'Fat']"
Samosa,"['Indian', 'Snack', 'Vegetarian', 'Spicy', 'Snack', 'Potatoes', 'Wheat Flour', 'Carbohydrates', 'Protein']"
Chole Kulche,"['North Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Snack', 'Chickpeas', 'Wheat Bread', 'Carbohydrates', 'Protein']"
Dal Makhani,"['North Indian', 'Vegetarian', 'Lentils', 'Creamy', 'Dinner', 'Black Lentils', 'Kidney Beans', 'Protein', 'Fiber']"
Rava Dosa,"['South Indian', 'Breakfast', 'Vegan', 'Semolina', 'Breakfast', 'Semolina', 'Rice Flour', 'Carbohydrates', 'Protein']"
Paneer Butter Masala,"['North Indian', 'Vegetarian', 'Creamy', 'Dinner', 'Paneer', 'Butter', 'Protein', 'Fat']"
Misal Pav,"['Maharashtrian', 'Street Food', 'Vegetarian', 'Spicy', 'Breakfast', 'Mixed Sprouts', 'Pav Bread', 'Protein', 'Carbohydrates']"
Aloo Tikki,"['Indian', 'Snack', 'Vegetarian', 'Spicy', 'Snack', 'Potatoes', 'Spices', 'Carbohydrates', 'Fiber']"
Biryani,"['Indian', 'Rice', 'Spicy', 'Chicken', 'Aromatic', 'Lunch', 'Basmati Rice', 'Chicken', 'Protein', 'Spices']"
Jalebi,"['Indian', 'Dessert', 'Sweet', 'Deep Fried', 'Dessert', 'All-Purpose Flour', 'Sugar Syrup', 'Carbohydrates', 'Sugar']"
Puri Sabji,"['North Indian', 'Breakfast', 'Vegetarian', 'Spicy', 'Breakfast', 'Wheat Flour', 'Mixed Vegetables', 'Carbohydrates', 'Fiber']"
Kachori,"['Indian', 'Snack', 'Vegetarian', 'Spicy', 'Snack', 'Lentils', 'Wheat Flour', 'Carbohydrates', 'Protein']"
Raj Kachori,"['Indian', 'Snack', 'Vegetarian', 'Spicy', 'Snack', 'Mixed Sprouts', 'Wheat Bread', 'Carbohydrates', 'Protein']"
Rava Upma,"['South Indian', 'Breakfast', 'Vegan', 'Semolina', 'Breakfast', 'Semolina', 'Mixed Vegetables', 'Carbohydrates', 'Fiber']"
Mysore Pak,"['South Indian', 'Dessert', 'Sweet', 'Gram Flour', 'Dessert', 'Gram Flour', 'Ghee', 'Carbohydrates', 'Fat']"
Chicken 65,"['Indian', 'Appetizer', 'Chicken', 'Spicy', 'Snack', 'Chicken', 'Spices', 'Protein', 'Spices']"
Gulab Jamun,"['Indian', 'Dessert', 'Sweet', 'Deep Fried', 'Dessert', 'Milk Solids', 'Sugar Syrup', 'Carbohydrates', 'Sugar']"
Tandoori Chicken,"['Indian', 'Appetizer', 'Chicken', 'Tandoori', 'Dinner', 'Chicken', 'Yogurt', 'Protein', 'Calcium']"
Poha,"['Indian', 'Breakfast', 'Vegan', 'Rice Flakes', 'Breakfast', 'Rice Flakes', 'Peanuts', 'Carbohydrates', 'Protein']"
Kadai Paneer,"['North Indian', 'Vegetarian', 'Spicy', 'Dinner', 'Paneer', 'Bell Peppers', 'Protein', 'Vitamin C']"
Matar Kachori,"['Indian', 'Snack', 'Vegetarian', 'Spicy', 'Snack', 'Green Peas', 'Wheat Flour', 'Carbohydrates', 'Protein']"
Idly,"['South Indian', 'Protein Rich', 'Breakfast', 'Baked Items', 'Rice Flour', 'Lentils', 'Carbohydrates', 'Protein']"
Chicken Vindaloo,"['North Indian', 'Punjabi', 'Non-Veg', 'Chicken', 'Protein Rich', 'Chicken', 'Spices', 'Protein', 'Spices']"
Ragi Dosa,"['South Indian', 'Diabetic Friendly', 'Millet Based', 'Pregnancy friendly', 'Ragi Flour', 'Lentils', 'Carbohydrates', 'Protein']"
Masala Dosa,"['South Indian', 'Spicy', 'Breakfast', 'Rice Flour', 'Lentils', 'Carbohydrates', 'Protein']"
Paneer Butter Masala,"['North Indian', 'Punjabi', 'Vegetarian', 'Creamy', 'Paneer', 'Butter', 'Protein', 'Fat']"
Sushi,"['Japanese', 'Seafood', 'Rice', 'Healthy', 'Rice', 'Seafood', 'Carbohydrates', 'Protein']"
Spaghetti Carbonara,"['Italian', 'Pasta', 'Creamy', 'Bacon', 'Pasta', 'Bacon', 'Carbohydrates', 'Protein']"
Chicken Tikka,"['North Indian', 'Tandoori', 'Chicken', 'Chicken', 'Spices', 'Protein', 'Spices']"
Fish Tacos,"['Mexican', 'Seafood', 'Tacos', 'Fish', 'Taco Shells', 'Protein', 'Carbohydrates']"
Hamburger,"['American', 'Fast Food', 'Beef', 'Sandwich', 'Beef', 'Burger Buns', 'Protein', 'Carbohydrates']"
Tofu Stir Fry,"['Asian', 'Vegetarian', 'Healthy', 'Tofu', 'Vegetables', 'Protein', 'Fiber']"
Pad Thai,"['Thai', 'Noodles', 'Spicy', 'Peanut', 'Rice Noodles', 'Peanuts', 'Carbohydrates', 'Protein']"
Margherita Pizza,"['Italian', 'Pizza', 'Vegetarian', 'Cheese', 'Pizza Dough', 'Cheese', 'Carbohydrates', 'Protein']"
Grilled Salmon,"['Seafood', 'Healthy', 'Grilled', 'Salmon', 'Lemon', 'Protein', 'Omega-3 Fatty Acids']"
Caesar Salad,"['American', 'Salad', 'Healthy', 'Vegetables', 'Lettuce', 'Croutons', 'Fiber', 'Vitamins']"
Egg Fried Rice,"['Chinese', 'Rice', 'Egg', 'Stir-fry', 'Rice', 'Eggs', 'Carbohydrates', 'Protein']"
Beef Stroganoff,"['Russian', 'Beef', 'Creamy', 'Pasta', 'Beef', 'Pasta', 'Protein', 'Carbohydrates']"
Miso Soup,"['Japanese', 'Soup', 'Tofu', 'Healthy', 'Tofu', 'Wakame', 'Protein', 'Vitamins']"
Gazpacho,"['Spanish', 'Soup', 'Cold', 'Tomatoes', 'Tomatoes', 'Cucumber', 'Vitamins', 'Antioxidants']"
Veg Manchurian,"['Indo-Chinese', 'Vegetarian', 'Spicy', 'Balls', 'Gravy', 'Protein', 'Fiber']"
Aloo Gobi,"['North Indian', 'Vegetarian', 'Potato', 'Cauliflower', 'Carbohydrates', 'Fiber']"
Chicken Curry,"['Indian', 'Non-Veg', 'Chicken', 'Spicy', 'Chicken', 'Curry Paste', 'Protein', 'Spices']"
Dal Tadka,"['North Indian', 'Vegetarian', 'Lentils', 'Spicy', 'Lentils', 'Spices', 'Protein', 'Fiber']"
Shrimp Scampi,"['Italian', 'Seafood', 'Garlic', 'Pasta', 'Shrimp', 'Garlic', 'Protein', 'Carbohydrates']"
Chicken Fried Rice,"['Chinese', 'Rice', 'Chicken', 'Stir-fry', 'Rice', 'Chicken', 'Protein', 'Carbohydrates']"
Veggie Burger,"['American', 'Vegetarian', 'Burger', 'Sandwich', 'Vegetables', 'Burger Patty', 'Carbohydrates', 'Protein']"
Palak Chicken,"['North Indian', 'Non-Veg', 'Chicken', 'Spinach', 'Protein', 'Iron']"
Paneer Makhani,"['North Indian', 'Vegetarian', 'Paneer', 'Creamy', 'Paneer', 'Butter', 'Protein', 'Fat']"
Tom Yum Soup,"['Thai', 'Soup', 'Spicy', 'Seafood', 'Shrimp', 'Lemongrass', 'Protein', 'Vitamins']"
Chili Con Carne,"['Mexican', 'Beef', 'Spicy', 'Stew', 'Beef', 'Kidney Beans', 'Protein', 'Fiber']"
Chicken Biryani,"['Indian', 'Rice', 'Spicy', 'Chicken', 'Aromatic', 'Basmati Rice', 'Chicken', 'Protein', 'Spices']"
Veggie Pizza,"['Italian', 'Pizza', 'Vegetarian', 'Cheese', 'Pizza Dough', 'Mixed Vegetables', 'Carbohydrates', 'Protein']"
Pancakes,"['American', 'Breakfast', 'Sweet', 'Pancakes', 'Maple Syrup', 'Butter', 'Carbohydrates', 'Fat']"
Beef Tacos,"['Mexican', 'Beef', 'Tacos', 'Beef', 'Tortillas', 'Protein', 'Carbohydrates']"
Cauliflower Curry,"['Indian', 'Vegetarian', 'Spicy', 'Cauliflower', 'Curry Sauce', 'Fiber', 'Vitamins']"
Caprese Salad,"['Italian', 'Salad', 'Vegetarian', 'Cheese', 'Tomatoes', 'Mozzarella', 'Vitamins', 'Calcium']"
Beef Stir Fry,"['Asian', 'Beef', 'Stir-fry', 'Beef', 'Vegetables', 'Protein', 'Fiber']"
Ratatouille,"['French', 'Vegetarian', 'Stew', 'Vegetables', 'Tomato Sauce', 'Fiber', 'Vitamins']"
Cheeseburger,"['American', 'Fast Food', 'Beef', 'Sandwich', 'Beef Patty', 'Cheese', 'Protein', 'Fat']"
Shrimp Alfredo,"['Italian', 'Seafood', 'Creamy', 'Pasta', 'Shrimp', 'Alfredo Sauce', 'Protein', 'Carbohydrates']"
Falafel Wrap,"['Middle Eastern', 'Vegetarian', 'Wrap', 'Falafel', 'Pita Bread', 'Protein', 'Carbohydrates']"
Mushroom Risotto,"['Italian', 'Rice', 'Creamy', 'Mushroom', 'Arborio Rice', 'Mushrooms', 'Carbohydrates', 'Protein']"
Chicken Caesar Wrap,"['American', 'Wrap', 'Chicken', 'Caesar Dressing', 'Lettuce', 'Protein', 'Vitamins']"
Eggplant Parmesan,"['Italian', 'Vegetarian', 'Eggplant', 'Parmesan Cheese', 'Marinara Sauce', 'Fiber', 'Calcium']"
Thai Green Curry,"['Thai', 'Spicy', 'Curry', 'Chicken', 'Coconut Milk', 'Protein', 'Healthy Fats']"
Vegetable Lasagna,"['Italian', 'Vegetarian', 'Pasta', 'Cheese', 'Mixed Vegetables', 'Carbohydrates', 'Protein']"
Tuna Salad,"['American', 'Salad', 'Healthy', 'Tuna', 'Mixed Greens', 'Protein', 'Omega-3 Fatty Acids']"
Pork Chops,"['American', 'Meat', 'Grilled', 'Pork', 'Seasoning', 'Protein', 'Healthy Fats']"
Quinoa Salad,"['Mediterranean', 'Salad', 'Vegetarian', 'Quinoa', 'Vegetables', 'Protein', 'Fiber']"
Stuffed Bell Peppers,"['American', 'Vegetarian', 'Bell Peppers', 'Rice', 'Tomato Sauce', 'Fiber', 'Vitamins']"
Egg Benedict,"['American', 'Breakfast', 'Egg', 'English Muffin', 'Hollandaise Sauce', 'Protein', 'Carbohydrates']"
Cajun Shrimp Pasta,"['American', 'Seafood', 'Spicy', 'Pasta', 'Shrimp', 'Cajun Seasoning', 'Protein', 'Carbohydrates']"
Chicken Fajitas,"['Mexican', 'Chicken', 'Spicy', 'Fajitas', 'Bell Peppers', 'Protein', 'Fiber']"
Tofu Pad Thai,"['Thai', 'Noodles', 'Vegetarian', 'Tofu', 'Rice Noodles', 'Peanuts', 'Protein', 'Carbohydrates']"
Spinach Artichoke Dip,"['American', 'Appetizer', 'Dip', 'Spinach', 'Artichokes', 'Cheese', 'Protein', 'Calcium']"
Chicken Shawarma,"['Middle Eastern', 'Chicken', 'Spicy', 'Wrap', 'Chicken', 'Pita Bread', 'Protein', 'Carbohydrates']"
Greek Salad,"['Mediterranean', 'Salad', 'Vegetarian', 'Feta Cheese', 'Olives', 'Salad Greens', 'Protein', 'Calcium']"
Lentil Soup,"['Mediterranean', 'Soup', 'Vegetarian', 'Lentils', 'Vegetables', 'Protein', 'Fiber']"
Tandoori Fish,"['Indian', 'Seafood', 'Tandoori', 'Fish', 'Tandoori Marinade', 'Protein', 'Spices']"
BBQ Ribs,"['American', 'Meat', 'BBQ', 'Pork', 'BBQ Sauce', 'Protein', 'Healthy Fats']"
Chicken Caesar Salad,"['American', 'Salad', 'Chicken', 'Healthy', 'Chicken', 'Lettuce', 'Protein', 'Vitamins']"
Shakshuka,"['Middle Eastern', 'Breakfast', 'Spicy', 'Eggs', 'Tomato Sauce', 'Protein', 'Lycopene']"
Eggplant Rollatini,"['Italian', 'Vegetarian', 'Eggplant', 'Cheese', 'Marinara Sauce', 'Fiber', 'Calcium']"
Beef Wellington,"['British', 'Beef', 'Pastry', 'Beef Fillet', 'Puff Pastry', 'Protein', 'Carbohydrates']"
Szechuan Tofu,"['Chinese', 'Vegetarian', 'Spicy', 'Tofu', 'Vegetables', 'Protein', 'Fiber']"
Chana Masala,"['Indian', 'Vegetarian', 'Spicy', 'Chickpeas', 'Tomato Sauce', 'Protein', 'Fiber']"
Mushroom Stroganoff,"['Russian', 'Vegetarian', 'Creamy', 'Pasta', 'Mushrooms', 'Cream Sauce', 'Protein', 'Carbohydrates']"
Spanakopita,"['Greek', 'Vegetarian', 'Spinach', 'Feta Cheese', 'Phyllo Dough', 'Fiber', 'Calcium']"
Crab Cakes,"['American', 'Seafood', 'Crab', 'Breaded', 'Crab Meat', 'Bread Crumbs', 'Protein', 'Carbohydrates']"
Tomato Basil Pasta,"['Italian', 'Pasta', 'Vegetarian', 'Tomato Sauce', 'Basil', 'Carbohydrates', 'Vitamins']"
Vegetable Stir Fry,"['Asian', 'Vegetarian', 'Stir-fry', 'Mixed Vegetables', 'Soy Sauce', 'Fiber', 'Protein']"
Chicken Satay,"['Thai', 'Chicken', 'Grilled', 'Skewers', 'Chicken', 'Peanut Sauce', 'Protein', 'Healthy Fats']"
Portobello Burger,"['American', 'Vegetarian', 'Burger', 'Portobello Mushroom', 'Burger Bun', 'Fiber', 'Protein']"
Pumpkin Soup,"['American', 'Soup', 'Vegetarian', 'Pumpkin', 'Cream', 'Vitamins', 'Calcium']"
Ratatouille,"['French', 'Vegetarian', 'Stew', 'Vegetables', 'Tomato Sauce', 'Fiber', 'Vitamins']"
Stuffed Cabbage Rolls,"['European', 'Vegetarian', 'Cabbage', 'Rice', 'Tomato Sauce', 'Fiber', 'Vitamins']"
Beef Tenders,"['American', 'Beef', 'Grilled', 'Beef', 'Seasoning', 'Protein', 'Healthy Fats']"
Caprese Sandwich,"['Italian', 'Sandwich', 'Vegetarian', 'Mozzarella Cheese', 'Tomato', 'Carbohydrates', 'Protein']"
Chicken Piccata,"['Italian', 'Chicken', 'Lemon', 'Chicken Breast', 'Capers', 'Protein', 'Vitamin C']"
Vegetable Curry,"['Indian', 'Vegetarian', 'Spicy', 'Mixed Vegetables', 'Curry Sauce', 'Fiber', 'Protein']"
Lemon Garlic Shrimp,"['American', 'Seafood', 'Garlic', 'Shrimp', 'Lemon', 'Protein', 'Healthy Fats']"
Teriyaki Salmon,"['Japanese', 'Seafood', 'Teriyaki', 'Salmon', 'Teriyaki Sauce', 'Protein', 'Omega-3 Fatty Acids']"
Vegetable Biryani,"['Indian', 'Rice', 'Vegetarian', 'Mixed Vegetables', 'Basmati Rice', 'Carbohydrates', 'Fiber']"
Beef Bulgogi,"['Korean', 'Beef', 'Spicy', 'Marinated Beef', 'Rice', 'Protein', 'Carbohydrates']"
Ricotta Stuffed Shells,"['Italian', 'Pasta', 'Vegetarian', 'Ricotta Cheese', 'Marinara Sauce', 'Protein', 'Calcium']"
Cobb Salad,"['American', 'Salad', 'Chicken', 'Healthy', 'Chicken', 'Avocado', 'Protein', 'Healthy Fats']"
Lobster Bisque,"['French', 'Soup', 'Seafood', 'Lobster', 'Cream', 'Protein', 'Calcium']"
Chicken Enchiladas,"['Mexican', 'Chicken', 'Spicy', 'Enchiladas', 'Chicken', 'Tortillas', 'Protein', 'Carbohydrates']"
Pumpkin Ravioli,"['Italian', 'Pasta', 'Vegetarian', 'Pumpkin', 'Pasta Dough', 'Carbohydrates', 'Fiber']"
Cauliflower Wings,"['American', 'Vegetarian', 'Cauliflower', 'Breaded', 'Buffalo Sauce', 'Fiber', 'Vitamins']"
Seafood Paella,"['Spanish', 'Seafood', 'Rice', 'Seafood', 'Saffron', 'Protein', 'Carbohydrates']"
Tiramisu,"['Italian', 'Dessert', 'Sweet', 'Coffee', 'Mascarpone Cheese', 'Carbohydrates', 'Fat']"
Pav Bhaji Pizza,"['Indian', 'Fusion', 'Vegetarian', 'Spicy', 'Pizza', 'Pav Bhaji', 'Carbohydrates', 'Protein']"
Rajasthani Dal Baati,"['Indian', 'Rajasthani', 'Vegetarian', 'Lentils', 'Wheat', 'Protein', 'Fiber']"
Kadhi Kachori,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Kachori', 'Kadhi', 'Carbohydrates', 'Protein']"
Aloo Gobi Masala,"['Indian', 'Vegetarian', 'Spicy', 'Potato', 'Cauliflower', 'Carbohydrates', 'Fiber']"
Paneer Bhurji,"['Indian', 'Vegetarian', 'Spicy', 'Paneer', 'Bell Peppers', 'Protein', 'Vitamin C']"
Dhokla,"['Indian', 'Gujarati', 'Vegetarian', 'Steamed', 'Chickpea Flour', 'Carbohydrates', 'Protein']"
Baingan Bharta,"['Indian', 'Vegetarian', 'Spicy', 'Eggplant', 'Tomato', 'Fiber', 'Vitamins']"
Chole Kulcha,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Kulcha', 'Chickpeas', 'Carbohydrates', 'Protein']"
Veg Biryani,"['Indian', 'Rice', 'Spicy', 'Vegetarian', 'Basmati Rice', 'Mixed Vegetables', 'Carbohydrates', 'Fiber']"
Dal Pakwan,"['Indian', 'Sindhi', 'Vegetarian', 'Lentils', 'Crispy Bread', 'Protein', 'Carbohydrates']"
Khandvi,"['Indian', 'Gujarati', 'Vegetarian', 'Savory', 'Chickpea Flour', 'Protein', 'Fiber']"
Malai Kofta,"['Indian', 'Vegetarian', 'Creamy', 'Kofta', 'Cashew Cream', 'Carbohydrates', 'Protein']"
Samosa Chaat,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Samosa', 'Chickpeas', 'Carbohydrates', 'Protein']"
Matar Kachori,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Kachori', 'Green Peas', 'Carbohydrates', 'Protein']"
Paneer Butter Masala,"['Indian', 'Vegetarian', 'Creamy', 'Paneer', 'Butter', 'Carbohydrates', 'Protein']"
Aloo Tikki Chaat,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Aloo Tikki', 'Chickpeas', 'Carbohydrates', 'Protein']"
Gujarati Khichdi,"['Indian', 'Gujarati', 'Vegetarian', 'Rice', 'Lentils', 'Carbohydrates', 'Protein']"
Rasam,"['Indian', 'South Indian', 'Vegetarian', 'Spicy', 'Lentil Soup', 'Tamarind', 'Protein', 'Vitamins']"
Pongal,"['Indian', 'South Indian', 'Vegetarian', 'Rice', 'Lentils', 'Protein', 'Fiber']"
Mysore Masala Dosa,"['Indian', 'South Indian', 'Spicy', 'Dosa', 'Masala', 'Carbohydrates', 'Protein']"
Baati,"['Indian', 'Rajasthani', 'Vegetarian', 'Baked', 'Wheat', 'Protein', 'Fiber']"
Veg Momos,"['Indian', 'Tibetan', 'Vegetarian', 'Dumplings', 'Mixed Vegetables', 'Carbohydrates', 'Protein']"
Dahi Vada,"['Indian', 'Street Food', 'Vegetarian', 'Yogurt', 'Lentil Fritters', 'Protein', 'Calcium']"
Misal Pav,"['Indian', 'Maharashtrian', 'Spicy', 'Mixed Sprouts', 'Pav Bread', 'Carbohydrates', 'Protein']"
Khichdi,"['Indian', 'Comfort Food', 'Vegetarian', 'Rice', 'Lentils', 'Carbohydrates', 'Protein']"
Raj Kachori,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Kachori', 'Mixed Sprouts', 'Carbohydrates', 'Protein']"
Batata Vada,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Potato', 'Chickpea Flour', 'Carbohydrates', 'Protein']"
Sabudana Khichdi,"['Indian', 'Maharashtrian', 'Vegetarian', 'Tapioca Pearls', 'Peanuts', 'Carbohydrates', 'Protein']"
Pani Puri,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Semolina', 'Chickpeas', 'Carbohydrates', 'Protein']"
